X1,X2,Class
6375,4125,0
6450,3750,0
6750,3750,0
7125,3825,0
7425,4200,0
6300,4425,0
6600,4725,0
6900,4725,0
7200,4500,0
6300,4650,0
6225,3900,0
7350,3975,0
7200,4200,0
6075,4200,0
6075,4500,0
6975,3900,0
6975,3675,0
7125,4350,0
7200,4650,0
6975,4575,0
6750,4875,0
6525,4800,0
6525,4575,0
6450,4275,0
6172,4222,0
6225,3975,0
6450,3975,0
6600,3600,0
6675,3825,0
6750,3600,0
7575,3450,1
7628,3622,1
7800,3600,1
7800,3900,1
8025,3975,1
7875,4125,1
8025,4350,1
7875,4425,1
8100,4575,1
7875,4725,1
8025,4950,1
7800,4950,1
8025,4725,1
7575,5100,1
7725,5175,1
7425,5250,1
7575,5400,1
7875,5100,1
7650,3375,1
7478,3172,1
7403,3322,1
7725,3225,1
7200,3000,1
7328,3172,1
7500,3000,1
7103,3172,1
6900,2925,1
6900,3075,1
7125,2850,1
6600,2850,1
6675,3000,1
6825,2775,1
6525,3150,1
6375,2925,1
6525,3000,1
6300,3150,1
6150,3000,1
6150,3225,1
5925,3150,1
6000,3000,1
6075,3150,1
6022,3322,1
5775,3300,1
5775,3450,1
5550,3450,1
5775,3675,1
5550,3600,1
5625,3750,1
5475,3825,1
5625,3900,1
5325,4050,1
5550,4125,1
5325,3900,1
5325,4350,1
5400,4200,1
5550,4350,1
5400,4575,1
5550,4500,1
5625,4575,1
5775,4650,1
5550,4725,1
5400,4875,1
5700,4875,1
5550,5025,1
5550,4875,1
5700,4725,1
5700,5175,1
5850,5025,1
5678,4972,1
5925,5175,1
5775,5250,1
6000,5100,1
6150,5175,1
5850,5400,1
6075,5400,1
6225,5550,1
6300,5400,1
6300,5250,1
6150,5400,1
6525,5625,1
6525,5400,1
6525,5250,1
6675,5625,1
6600,5400,1
6825,5550,1
6825,5400,1
7050,5625,1
7050,5475,1
7200,5550,1
7275,5400,1
7350,5550,1
7500,5550,1
6975,5325,1
7275,5325,1
7725,5400,1
8250,4200,1
8025,4125,1
7875,3675,1
8025,3825,1
7875,3450,1
8100,3600,1
8250,4350,1
8175,3975,1
7200,4050,0
7275,4275,0
6975,4725,0
7125,4725,0
